food_name,data_type
Almond paste,Survey (FNDDS)
"Almonds, chocolate covered candy",Survey (FNDDS)
"Almonds, flavored",Survey (FNDDS)
"Almonds, honey roasted",Survey (FNDDS)
"Almonds, lightly salted",Survey (FNDDS)
"Almonds, NFS",Survey (FNDDS)
"Almonds, salted",Survey (FNDDS)
"Almonds, unroasted",Survey (FNDDS)
"Almonds, unsalted",Survey (FNDDS)
Aloe vera juice drink,Survey (FNDDS)
"Amaranth grain, cooked",SR Legacy
"Amaranth grain, uncooked",SR Legacy
"Amaranth leaves, cooked, boiled, drained, with salt",SR Legacy
"Amaranth leaves, cooked, boiled, drained, without salt",SR Legacy
"Amaranth leaves, raw",SR Legacy
Ambrosia,Survey (FNDDS)
"Andrea's, Gluten Free Soft Dinner Roll",SR Legacy
Animal fat or drippings,Survey (FNDDS)
"Animal fat, bacon grease",SR Legacy
Anisette toast,Survey (FNDDS)
"Antipasto with ham, fish, cheese, vegetables",Survey (FNDDS)
Apple cider,Survey (FNDDS)
"Apple juice beverage, 40-50% juice, light",Survey (FNDDS)
"Apple juice, 100%",Survey (FNDDS)
"Apple juice, 100%, with calcium added",Survey (FNDDS)
"Apple juice, canned or bottled, unsweetened, with added ascorbic acid",SR Legacy
"Apple juice, canned or bottled, unsweetened, with added ascorbic acid, calcium, and potassium",SR Legacy
"Apple juice, canned or bottled, unsweetened, without added ascorbic acid",SR Legacy
"Apple juice, frozen concentrate, unsweetened, diluted with 3 volume water without added ascorbic acid",SR Legacy
"Apple juice, frozen concentrate, unsweetened, diluted with 3 volume water, with added ascorbic acid",SR Legacy
"Apple juice, frozen concentrate, unsweetened, undiluted, with added ascorbic acid",SR Legacy
"Apple juice, frozen concentrate, unsweetened, undiluted, without added ascorbic acid",SR Legacy
"Apple juice, with added vitamin C, from concentrate, shelf stable",Foundation
Apple pie filling,Survey (FNDDS)
Apple salad with dressing,Survey (FNDDS)
"Apple, baked",Survey (FNDDS)
"Apple, candied",Survey (FNDDS)
"Apple, dried",Survey (FNDDS)
"Apple, raw",Survey (FNDDS)
"APPLEBEE'S, 9 oz house sirloin steak",SR Legacy
"APPLEBEE'S, chicken tenders platter",SR Legacy
"APPLEBEE'S, chicken tenders, from kids' menu",SR Legacy
"APPLEBEE'S, chili",SR Legacy
"APPLEBEE'S, coleslaw",SR Legacy
"APPLEBEE'S, crunchy onion rings",SR Legacy
