food_name,data_type
"Candies, REESE'S PIECES Candy",SR Legacy
"Candies, REESE'S, FAST BREAK, milk chocolate peanut butter and soft nougats",SR Legacy
"Candies, ROLO Caramels in Milk Chocolate",SR Legacy
"Candies, semisweet chocolate",SR Legacy
"Candies, semisweet chocolate, made with butter",SR Legacy
"Candies, sesame crunch",SR Legacy
"Candies, soft fruit and nut squares",SR Legacy
"Candies, SPECIAL DARK Chocolate Bar",SR Legacy
"Candies, sugar-coated almonds",SR Legacy
"Candies, sweet chocolate",SR Legacy
"Candies, sweet chocolate coated fondant",SR Legacy
"Candies, SYMPHONY Milk Chocolate Bar",SR Legacy
"Candies, taffy, prepared-from-recipe",SR Legacy
"Candies, Tamarind",SR Legacy
"Candies, TOBLERONE, milk chocolate with honey and almond nougat",SR Legacy
"Candies, toffee, prepared-from-recipe",SR Legacy
"Candies, TOOTSIE ROLL, chocolate-flavor roll",SR Legacy
"Candies, truffles, prepared-from-recipe",SR Legacy
"Candies, TWIZZLERS CHERRY BITES",SR Legacy
"Candies, TWIZZLERS NIBS CHERRY BITS",SR Legacy
"Candies, TWIZZLERS Strawberry Twists Candy",SR Legacy
"Candies, WHATCHAMACALLIT Candy Bar",SR Legacy
"Candies, white chocolate",SR Legacy
"Candies, YORK BITES",SR Legacy
"Candies, YORK Peppermint Pattie",SR Legacy
"Candy, caramel",Survey (FNDDS)
"Candy, cotton",Survey (FNDDS)
"Candy, fruit flavored pieces",Survey (FNDDS)
"Candy, fruit leather",Survey (FNDDS)
"Candy, fruit snacks",Survey (FNDDS)
"Candy, gummy",Survey (FNDDS)
"Candy, hard",Survey (FNDDS)
"Candy, licorice",Survey (FNDDS)
"Candy, lollipop",Survey (FNDDS)
"Candy, marshmallow",Survey (FNDDS)
"Candy, mint",Survey (FNDDS)
"Candy, NFS",Survey (FNDDS)
"Candy, non chocolate, other, NFS",Survey (FNDDS)
"Candy, non chocolate, sugar free",Survey (FNDDS)
"Candy, nougat with nuts",Survey (FNDDS)
"Candy, peanut brittle",Survey (FNDDS)
"Candy, sprinkles",Survey (FNDDS)
"Candy, taffy",Survey (FNDDS)
"Cannelloni, cheese- and spinach-filled, no sauce",Survey (FNDDS)
Canola oil,Survey (FNDDS)
Cantaloupe nectar,Survey (FNDDS)
"Cantaloupe, raw",Survey (FNDDS)
Cape Cod,Survey (FNDDS)
"Capers, canned",SR Legacy
"Carambola, (starfruit), raw",SR Legacy
"Caramel dip, light",Survey (FNDDS)
"Caramel dip, regular",Survey (FNDDS)
"Carbonated beverage, chocolate-flavored soda",SR Legacy
"Carbonated beverage, cream soda",SR Legacy
"Carbonated beverage, low calorie, other than cola or pepper, with sodium saccharin, without caffeine",SR Legacy
"Cardoon, cooked, boiled, drained, with salt",SR Legacy
"Cardoon, cooked, boiled, drained, without salt",SR Legacy
"Cardoon, raw",SR Legacy
Caribou,Survey (FNDDS)
"Caribou, bone marrow, raw (Alaska Native)",SR Legacy
"Caribou, eye, raw (Alaska Native)",SR Legacy
"Caribou, hind quarter meat, raw (Alaska Native)",SR Legacy
"Caribou, hind quarter, meat, cooked (Alaska Native)",SR Legacy
"Caribou, liver, raw (Alaska Native)",SR Legacy
"Caribou, rump meat, half dried (Alaska Native)",SR Legacy
"Caribou, shoulder meat, dried (Alaska Native)",SR Legacy
"Caribou, tongue, raw (Alaska Native)",SR Legacy
"Carissa, (natal-plum), raw",SR Legacy
Carob flour,SR Legacy
"CARRABBA'S ITALIAN GRILL, cheese ravioli with marinara sauce",SR Legacy
"CARRABBA'S ITALIAN GRILL, chicken parmesan without cavatappi pasta",SR Legacy
"CARRABBA'S ITALIAN GRILL, lasagne",SR Legacy
"CARRABBA'S ITALIAN GRILL, spaghetti with meat sauce",SR Legacy
"CARRABBA'S ITALIAN GRILL, spaghetti with pomodoro sauce",SR Legacy
"Carrot juice, 100%",Survey (FNDDS)
"Carrot juice, canned",SR Legacy
"Carrot, dehydrated",SR Legacy
"Carrots, baby, raw",SR Legacy
"Carrots, baby, raw",Foundation
"Carrots, canned, cooked with butter or margarine",Survey (FNDDS)
"Carrots, canned, cooked with oil",Survey (FNDDS)
"Carrots, canned, cooked, fat added, NS as to fat type",Survey (FNDDS)
"Carrots, canned, cooked, no added fat",Survey (FNDDS)
"Carrots, canned, no salt added, drained solids",SR Legacy
"Carrots, canned, no salt added, solids and liquids",SR Legacy
"Carrots, canned, reduced sodium, cooked with butter or margarine",Survey (FNDDS)
"Carrots, canned, reduced sodium, cooked with oil",Survey (FNDDS)
"Carrots, canned, reduced sodium, cooked, fat added, NS as to fat type",Survey (FNDDS)
"Carrots, canned, reduced sodium, cooked, no added fat",Survey (FNDDS)
"Carrots, canned, regular pack, drained solids",SR Legacy
"Carrots, canned, regular pack, solids and liquids",SR Legacy
"Carrots, cooked, as ingredient",Survey (FNDDS)
"Carrots, cooked, boiled, drained, with salt",SR Legacy
"Carrots, cooked, boiled, drained, without salt",SR Legacy
"Carrots, cooked, from restaurant",Survey (FNDDS)
"Carrots, fresh, cooked with butter or margarine",Survey (FNDDS)
"Carrots, fresh, cooked with oil",Survey (FNDDS)
"Carrots, fresh, cooked, fat added, NS as to fat type",Survey (FNDDS)
"Carrots, fresh, cooked, no added fat",Survey (FNDDS)
"Carrots, frozen, cooked with butter or margarine",Survey (FNDDS)
"Carrots, frozen, cooked with oil",Survey (FNDDS)
"Carrots, frozen, cooked, boiled, drained, with salt",SR Legacy
"Carrots, frozen, cooked, boiled, drained, without salt",SR Legacy
"Carrots, frozen, cooked, fat added, NS as to fat type",Survey (FNDDS)
"Carrots, frozen, cooked, no added fat",Survey (FNDDS)
"Carrots, frozen, unprepared",Foundation
"Carrots, frozen, unprepared (Includes foods for USDA's Food Distribution Program)",SR Legacy
"Carrots, glazed, cooked",Survey (FNDDS)
"Carrots, mature, raw",Foundation
"Carrots, NS as to form, cooked",Survey (FNDDS)
"Carrots, raw",Survey (FNDDS)
"Carrots, raw",SR Legacy
"Carrots, raw, salad",Survey (FNDDS)
"Carrots, raw, salad with apples",Survey (FNDDS)
"Casabe, cassava bread",Survey (FNDDS)
Cashew butter,Survey (FNDDS)
"Cashews, honey roasted",Survey (FNDDS)
"Cashews, lightly salted",Survey (FNDDS)
"Cashews, NFS",Survey (FNDDS)
"Cashews, salted",Survey (FNDDS)
"Cashews, unroasted",Survey (FNDDS)
"Cashews, unsalted",Survey (FNDDS)
"Cassava, cooked",Survey (FNDDS)
"Cassava, raw",SR Legacy
Catsup,SR Legacy
"Catsup, low sodium",SR Legacy
"Cattail, Narrow Leaf Shoots (Northern Plains Indians)",SR Legacy
"Cauliflower, cooked, as ingredient",Survey (FNDDS)
"Cauliflower, cooked, boiled, drained, with salt",SR Legacy
"Cauliflower, cooked, boiled, drained, without salt",SR Legacy
"Cauliflower, fresh, cooked with butter or margarine",Survey (FNDDS)
"Cauliflower, fresh, cooked with oil",Survey (FNDDS)
"Cauliflower, fresh, cooked, fat added, NS as to fat type",Survey (FNDDS)
"Cauliflower, fresh, cooked, no added fat",Survey (FNDDS)
"Cauliflower, frozen, cooked with butter or margarine",Survey (FNDDS)
"Cauliflower, frozen, cooked with oil",Survey (FNDDS)
"Cauliflower, frozen, cooked, boiled, drained, with salt",SR Legacy
"Cauliflower, frozen, cooked, boiled, drained, without salt",SR Legacy
"Cauliflower, frozen, cooked, fat added, NS as to fat type",Survey (FNDDS)
"Cauliflower, frozen, cooked, no added fat",Survey (FNDDS)
"Cauliflower, frozen, unprepared",SR Legacy
"Cauliflower, green, cooked, no salt added",SR Legacy
"Cauliflower, green, cooked, with salt",SR Legacy
"Cauliflower, green, raw",SR Legacy
"Cauliflower, NS as to form, cooked",Survey (FNDDS)
"Cauliflower, pickled",Survey (FNDDS)
"Cauliflower, raw",Foundation
"Cauliflower, raw",SR Legacy
"Cauliflower, raw",Survey (FNDDS)
Caviar,Survey (FNDDS)
"Celeriac, cooked, boiled, drained, with salt",SR Legacy
"Celeriac, cooked, boiled, drained, without salt",SR Legacy
"Celeriac, raw",SR Legacy
Celery juice,Survey (FNDDS)
"Celery, cooked",Survey (FNDDS)
"Celery, cooked, as ingredient",Survey (FNDDS)
"Celery, cooked, boiled, drained, with salt",SR Legacy
"Celery, cooked, boiled, drained, without salt",SR Legacy
"Celery, pickled",Survey (FNDDS)
"Celery, raw",Survey (FNDDS)
"Celery, raw",Foundation
"Celery, raw",SR Legacy
"Celtuce, raw",SR Legacy
Cereal or granola bar (General Mills Fiber One Chewy Bar),Survey (FNDDS)
Cereal or granola bar (General Mills Nature Valley Chewy Trail Mix),Survey (FNDDS)
Cereal or granola bar (General Mills Nature Valley Crunchy Granola Bar),Survey (FNDDS)
Cereal or granola bar (General Mills Nature Valley Sweet and Salty Granola Bar),Survey (FNDDS)
Cereal or granola bar (Kashi Chewy),Survey (FNDDS)
Cereal or granola bar (Kashi Crunchy),Survey (FNDDS)
Cereal or granola bar (Kellogg's Nutri-Grain Cereal Bar),Survey (FNDDS)
Cereal or granola bar (Kellogg's Nutri-Grain Fruit and Nut Bar),Survey (FNDDS)
Cereal or granola bar (Kellogg's Nutri-Grain Yogurt Bar),Survey (FNDDS)
Cereal or granola bar (Kellogg's Special K bar),Survey (FNDDS)
Cereal or granola bar (KIND Fruit and Nut Bar),Survey (FNDDS)
Cereal or granola bar (Quaker Chewy 25% Less Sugar Granola Bar),Survey (FNDDS)
Cereal or granola bar (Quaker Chewy 90 Calorie Granola Bar),Survey (FNDDS)
Cereal or granola bar (Quaker Chewy Dipps Granola Bar),Survey (FNDDS)
Cereal or granola bar (Quaker Chewy Granola Bar),Survey (FNDDS)
Cereal or granola bar (Quaker Granola Bites),Survey (FNDDS)
"Cereal or granola bar with nuts, chocolate coated",Survey (FNDDS)
"Cereal or granola bar, chocolate coated, NFS",Survey (FNDDS)
"Cereal or granola bar, coated with non-chocolate coating",Survey (FNDDS)
"Cereal or granola bar, fruit and nut",Survey (FNDDS)
"Cereal or granola bar, high fiber, coated with non-chocolate yogurt coating",Survey (FNDDS)
"Cereal or granola bar, lowfat, NFS",Survey (FNDDS)
"Cereal or Granola bar, NFS",Survey (FNDDS)
"Cereal or granola bar, nonfat",Survey (FNDDS)
"Cereal or granola bar, oats, nuts, coated with non-chocolate coating",Survey (FNDDS)
"Cereal or granola bar, peanuts , oats, sugar, wheat germ",Survey (FNDDS)
"Cereal or granola bar, reduced sugar, NFS",Survey (FNDDS)
"Cereal or granola bar, with coconut, chocolate coated",Survey (FNDDS)
"Cereal or granola bar, with rice cereal",Survey (FNDDS)
"Cereal or granola bar, with yogurt coating (General Mills Nature Valley Chewy Granola Bar)",Survey (FNDDS)
"Cereal, bran flakes, flavored",Survey (FNDDS)
"Cereal, bran flakes, plain",Survey (FNDDS)
"Cereal, chocolate crispy",Survey (FNDDS)
"Cereal, chocolate puffs",Survey (FNDDS)
"Cereal, cinnamon toast",Survey (FNDDS)
"Cereal, cooked, NFS",Survey (FNDDS)
"Cereal, corn flakes, flavored",Survey (FNDDS)
"Cereal, corn flakes, plain",Survey (FNDDS)
"Cereal, corn puffs",Survey (FNDDS)
"Cereal, corn squares",Survey (FNDDS)
"Cereal, corn squares, flavored",Survey (FNDDS)
"Cereal, crunch",Survey (FNDDS)
"Cereal, flavored puffs",Survey (FNDDS)
"Cereal, frosted oats with marshmallows",Survey (FNDDS)
"Cereal, fruit crispy",Survey (FNDDS)
"Cereal, fruit rings",Survey (FNDDS)
"Cereal, granola",Survey (FNDDS)
"Cereal, K's, flavored",Survey (FNDDS)
"Cereal, K's, plain",Survey (FNDDS)
"Cereal, multigrain",Survey (FNDDS)
"Cereal, O's, flavored",Survey (FNDDS)
"Cereal, O's, honey nut",Survey (FNDDS)
"Cereal, O's, multigrain",Survey (FNDDS)
"Cereal, O's, NFS",Survey (FNDDS)
"Cereal, O's, plain",Survey (FNDDS)
"Cereal, oat bran, ready-to-eat",Survey (FNDDS)
"Cereal, oat bunches",Survey (FNDDS)
"Cereal, oat squares",Survey (FNDDS)
"Cereal, other, chocolate",Survey (FNDDS)
"Cereal, other, fruit flavored",Survey (FNDDS)
"Cereal, other, honey",Survey (FNDDS)
"Cereal, other, NFS",Survey (FNDDS)
"Cereal, other, peanut butter",Survey (FNDDS)
"Cereal, other, plain",Survey (FNDDS)
"Cereal, plain puffs",Survey (FNDDS)
"Cereal, ready-to-eat, NFS",Survey (FNDDS)
"Cereal, reduced sugar",Survey (FNDDS)
"Cereal, rice crispy, flavored",Survey (FNDDS)
"Cereal, rice crispy, plain",Survey (FNDDS)
"Cereal, rice squares",Survey (FNDDS)
"Cereal, shredded wheat, flavored",Survey (FNDDS)
"Cereal, shredded wheat, plain",Survey (FNDDS)
"Cereal, wheat flakes",Survey (FNDDS)
"Cereal, wheat squares",Survey (FNDDS)
"Cereals ready-to-eat, ALPEN",SR Legacy
"Cereals ready-to-eat, BARBARA'S PUFFINS, original",SR Legacy
"Cereals ready-to-eat, chocolate-flavored frosted puffed corn",SR Legacy
"Cereals ready-to-eat, FAMILIA",SR Legacy
"Cereals ready-to-eat, frosted oat cereal with marshmallows",SR Legacy
"Cereals ready-to-eat, GENERAL MILLS, CHEERIOS",SR Legacy
"Cereals ready-to-eat, granola, homemade",SR Legacy
"Cereals ready-to-eat, HEALTH VALLEY, FIBER 7 Flakes",SR Legacy
"Cereals ready-to-eat, MALT-O-MEAL, Apple ZINGS",SR Legacy
"Cereals ready-to-eat, MALT-O-MEAL, BERRY COLOSSAL CRUNCH",SR Legacy
"Cereals ready-to-eat, MALT-O-MEAL, Blueberry MUFFIN TOPS Cereal",SR Legacy
"Cereals ready-to-eat, MALT-O-MEAL, CHOCOLATE MARSHMALLOW MATEYS",SR Legacy
"Cereals ready-to-eat, MALT-O-MEAL, CINNAMON TOASTERS",SR Legacy
"Cereals ready-to-eat, MALT-O-MEAL, COCO-ROOS",SR Legacy
"Cereals ready-to-eat, MALT-O-MEAL, Cocoa DYNO-BITES",SR Legacy
"Cereals ready-to-eat, MALT-O-MEAL, COLOSSAL CRUNCH",SR Legacy
"Cereals ready-to-eat, MALT-O-MEAL, CORN BURSTS",SR Legacy
"Cereals ready-to-eat, MALT-O-MEAL, Crispy Rice",SR Legacy
"Cereals ready-to-eat, MALT-O-MEAL, Frosted Flakes",SR Legacy
"Cereals ready-to-eat, MALT-O-MEAL, Frosted Mini SPOONERS",SR Legacy
"Cereals ready-to-eat, MALT-O-MEAL, Fruity DYNO-BITES",SR Legacy
"Cereals ready-to-eat, MALT-O-MEAL, GOLDEN PUFFS",SR Legacy
"Cereals ready-to-eat, MALT-O-MEAL, Honey BUZZERS",SR Legacy
"Cereals ready-to-eat, MALT-O-MEAL, HONEY GRAHAM SQUARES",SR Legacy
"Cereals ready-to-eat, MALT-O-MEAL, Honey Nut SCOOTERS",SR Legacy
"Cereals ready-to-eat, MALT-O-MEAL, MARSHMALLOW MATEYS",SR Legacy
"Cereals ready-to-eat, MALT-O-MEAL, OAT BLENDERS with honey",SR Legacy
"Cereals ready-to-eat, MALT-O-MEAL, OAT BLENDERS with honey & almonds",SR Legacy
"Cereals ready-to-eat, MALT-O-MEAL, Raisin Bran Cereal",SR Legacy
"Cereals ready-to-eat, MALT-O-MEAL, TOOTIE FRUITIES",SR Legacy
"Cereals ready-to-eat, MOM'S BEST, Honey Nut TOASTY O'S",SR Legacy
"Cereals ready-to-eat, MOM'S BEST, Sweetened WHEAT-FULS",SR Legacy
"Cereals ready-to-eat, NATURE'S PATH, Organic FLAX PLUS flakes",SR Legacy
"Cereals ready-to-eat, NATURE'S PATH, Organic FLAX PLUS, Pumpkin Granola",SR Legacy
"Cereals ready-to-eat, OAT BRAN FLAKES, HEALTH VALLEY",SR Legacy
"Cereals ready-to-eat, POST Bran Flakes",SR Legacy
"Cereals ready-to-eat, POST GREAT GRAINS Banana Nut Crunch",SR Legacy
"Cereals ready-to-eat, POST GREAT GRAINS Cranberry Almond Crunch",SR Legacy
"Cereals ready-to-eat, POST HONEY BUNCHES OF OATS with cinnamon bunches",SR Legacy
"Cereals ready-to-eat, POST Raisin Bran Cereal",SR Legacy
"Cereals ready-to-eat, POST SELECTS Blueberry Morning",SR Legacy
"Cereals ready-to-eat, POST SELECTS Maple Pecan Crunch",SR Legacy
"Cereals ready-to-eat, POST, ALPHA-BITS",SR Legacy
"Cereals ready-to-eat, POST, COCOA PEBBLES",SR Legacy
"Cereals ready-to-eat, POST, FRUITY PEBBLES",SR Legacy
"Cereals ready-to-eat, POST, GOLDEN CRISP",SR Legacy
"Cereals ready-to-eat, POST, GRAPE-NUTS Cereal",SR Legacy
"Cereals ready-to-eat, POST, GRAPE-NUTS Flakes",SR Legacy
"Cereals ready-to-eat, POST, GREAT GRAINS Crunchy Pecan Cereal",SR Legacy
"Cereals ready-to-eat, POST, GREAT GRAINS, Raisin, Date & Pecan",SR Legacy
"Cereals ready-to-eat, POST, HONEY BUNCHES OF OATS with vanilla bunches",SR Legacy
"Cereals ready-to-eat, POST, HONEY BUNCHES OF OATS, honey roasted",SR Legacy
"Cereals ready-to-eat, POST, HONEY BUNCHES OF OATS, pecan bunches",SR Legacy
"Cereals ready-to-eat, POST, HONEY BUNCHES OF OATS, with almonds",SR Legacy
"Cereals ready-to-eat, POST, HONEY BUNCHES OF OATS, with real strawberries",SR Legacy
"Cereals ready-to-eat, POST, Honey Nut Shredded Wheat",SR Legacy
"Cereals ready-to-eat, POST, Honeycomb Cereal",SR Legacy
"Cereals ready-to-eat, POST, Shredded Wheat n' Bran, spoon-size",SR Legacy
"Cereals ready-to-eat, POST, Shredded Wheat, lightly frosted, spoon-size",SR Legacy
"Cereals ready-to-eat, POST, Shredded Wheat, original big biscuit",SR Legacy
"Cereals ready-to-eat, POST, Shredded Wheat, original spoon-size",SR Legacy
"Cereals ready-to-eat, Post, Waffle Crisp",SR Legacy
"Cereals ready-to-eat, QUAKER Oatmeal Squares, Golden Maple",SR Legacy
"Cereals ready-to-eat, QUAKER WHOLE HEARTS oat cereal",SR Legacy
"Cereals ready-to-eat, QUAKER, 100% Natural Granola, Oats, Wheat and Honey",SR Legacy
"Cereals ready-to-eat, QUAKER, CAP'N CRUNCH",SR Legacy
"Cereals ready-to-eat, QUAKER, CAP'N CRUNCH with CRUNCHBERRIES",SR Legacy
"Cereals ready-to-eat, QUAKER, CAP'N CRUNCH'S Halloween Crunch",SR Legacy
"Cereals ready-to-eat, QUAKER, Cap'n Crunch's OOPS! All Berries Cereal",SR Legacy
"Cereals ready-to-eat, QUAKER, CAP'N CRUNCH'S PEANUT BUTTER CRUNCH",SR Legacy
"Cereals ready-to-eat, QUAKER, Christmas Crunch",SR Legacy
"Cereals ready-to-eat, QUAKER, HONEY GRAHAM OH!S",SR Legacy
"Cereals ready-to-eat, QUAKER, KING VITAMAN",SR Legacy
"Cereals ready-to-eat, QUAKER, Low Fat 100% Natural Granola with Raisins",SR Legacy
"Cereals ready-to-eat, QUAKER, Maple Brown Sugar LIFE Cereal",SR Legacy
"Cereals ready-to-eat, QUAKER, MOTHER'S Cinnamon Oat Crunch",SR Legacy
"Cereals ready-to-eat, QUAKER, MOTHER'S COCOA BUMPERS",SR Legacy
"Cereals ready-to-eat, QUAKER, MOTHER'S GRAHAM BUMPERS",SR Legacy
"Cereals ready-to-eat, QUAKER, MOTHER'S PEANUT BUTTER BUMPERS Cereal",SR Legacy
"Cereals ready-to-eat, QUAKER, MOTHER'S Toasted Oat Bran cereal",SR Legacy
"Cereals ready-to-eat, QUAKER, Natural Granola Apple Cranberry Almond",SR Legacy
"Cereals ready-to-eat, QUAKER, Oatmeal Squares",SR Legacy
"Cereals ready-to-eat, QUAKER, Oatmeal Squares, cinnamon",SR Legacy
"Cereals ready-to-eat, QUAKER, QUAKER 100% Natural Granola with Oats, Wheat, Honey, and Raisins",SR Legacy
"Cereals ready-to-eat, QUAKER, QUAKER CRUNCHY BRAN",SR Legacy
"Cereals ready-to-eat, QUAKER, QUAKER Honey Graham LIFE Cereal",SR Legacy
"Cereals ready-to-eat, QUAKER, QUAKER OAT CINNAMON LIFE",SR Legacy
"Cereals ready-to-eat, QUAKER, QUAKER OAT LIFE, plain",SR Legacy
"Cereals ready-to-eat, QUAKER, QUAKER Puffed Rice",SR Legacy
"Cereals ready-to-eat, QUAKER, QUAKER Puffed Wheat",SR Legacy
"Cereals ready-to-eat, QUAKER, Shredded Wheat, bagged cereal",SR Legacy
"Cereals ready-to-eat, QUAKER, SWEET CRUNCH/QUISP",SR Legacy
"Cereals ready-to-eat, QUAKER, Toasted Multigrain Crisps",SR Legacy
"Cereals ready-to-eat, RALSTON Corn Biscuits",SR Legacy
"Cereals ready-to-eat, RALSTON Corn Flakes",SR Legacy
"Cereals ready-to-eat, RALSTON CRISP RICE",SR Legacy
"Cereals ready-to-eat, RALSTON Crispy Hexagons",SR Legacy
"Cereals ready-to-eat, RALSTON Enriched Wheat Bran flakes",SR Legacy
"Cereals ready-to-eat, RALSTON TASTEEOS",SR Legacy
"Cereals ready-to-eat, rice, puffed, fortified",SR Legacy
"Cereals ready-to-eat, SUN COUNTRY, KRETSCHMER Honey Crunch Wheat Germ",SR Legacy
"Cereals ready-to-eat, SUN COUNTRY, KRETSCHMER Toasted Wheat Bran",SR Legacy
"Cereals ready-to-eat, SUN COUNTRY, KRETSCHMER Wheat Germ, Regular",SR Legacy
"Cereals ready-to-eat, UNCLE SAM CEREAL",SR Legacy
"Cereals ready-to-eat, WEETABIX whole grain cereal",SR Legacy
"Cereals ready-to-eat, wheat and bran, presweetened with nuts and fruits",SR Legacy
"Cereals ready-to-eat, wheat germ, toasted, plain",SR Legacy
"Cereals ready-to-eat, wheat, puffed, fortified",SR Legacy
"Cereals, corn grits, white, regular and quick, enriched, cooked with water, with salt",SR Legacy
"Cereals, corn grits, white, regular and quick, enriched, cooked with water, without salt",SR Legacy
"Cereals, corn grits, white, regular and quick, enriched, dry",SR Legacy
"Cereals, corn grits, yellow, regular and quick, enriched, cooked with water, without salt",SR Legacy
"Cereals, corn grits, yellow, regular and quick, unenriched, dry",SR Legacy
"Cereals, corn grits, yellow, regular, quick, enriched, cooked with water, with salt",SR Legacy
"Cereals, CREAM OF RICE, cooked with water, with salt",SR Legacy
"Cereals, CREAM OF RICE, dry",SR Legacy
"Cereals, CREAM OF WHEAT, 1 minute cook time, cooked with water, microwaved, without salt",SR Legacy
"Cereals, CREAM OF WHEAT, 1 minute cook time, cooked with water, stove-top, without salt",SR Legacy
"Cereals, CREAM OF WHEAT, 1 minute cook time, dry",SR Legacy
"Cereals, CREAM OF WHEAT, 2 1/2 minute cook time, cooked with water, microwaved, without salt",SR Legacy
"Cereals, CREAM OF WHEAT, 2 1/2 minute cook time, cooked with water, stove-top, without salt",SR Legacy
"Cereals, CREAM OF WHEAT, 2 1/2 minute cook time, dry",SR Legacy
"Cereals, CREAM OF WHEAT, instant, dry",SR Legacy
"Cereals, CREAM OF WHEAT, instant, prepared with water, without salt",SR Legacy
"Cereals, CREAM OF WHEAT, regular (10 minute), cooked with water, with salt",SR Legacy
"Cereals, CREAM OF WHEAT, regular (10 minute), cooked with water, without salt",SR Legacy
"Cereals, CREAM OF WHEAT, regular, 10 minute cooking, dry",SR Legacy
"Cereals, farina, enriched, assorted brands including CREAM OF WHEAT, quick (1-3 minutes), cooked with water, without salt",SR Legacy
"Cereals, farina, enriched, assorted brands including CREAM OF WHEAT, quick (1-3 minutes), dry",SR Legacy
"Cereals, farina, enriched, cooked with water, with salt",SR Legacy
"Cereals, farina, unenriched, dry",SR Legacy
"Cereals, MALT-O-MEAL, chocolate, dry",SR Legacy
"Cereals, MALT-O-MEAL, chocolate, prepared with water, without salt",SR Legacy
"Cereals, MALT-O-MEAL, Farina Hot Wheat Cereal, dry",SR Legacy
"Cereals, MALT-O-MEAL, Maple & Brown Sugar Hot Wheat Cereal, dry",SR Legacy
"Cereals, MALT-O-MEAL, original, plain, dry",SR Legacy
"Cereals, MALT-O-MEAL, original, plain, prepared with water, without salt",SR Legacy
"Cereals, Oat Bran, QUAKER, QUAKER/MOTHER'S Oat Bran, prepared with water, salt",SR Legacy
"Cereals, oats, instant, fortified, maple and brown sugar, dry",SR Legacy
"Cereals, oats, instant, fortified, plain, dry",SR Legacy
"Cereals, oats, instant, fortified, plain, prepared with water (boiling water added or microwaved)",SR Legacy
"Cereals, oats, instant, fortified, with cinnamon and spice, dry",SR Legacy
"Cereals, oats, instant, fortified, with cinnamon and spice, prepared with water",SR Legacy
"Cereals, oats, instant, fortified, with raisins and spice, prepared with water",SR Legacy
"Cereals, oats, regular and quick and instant, unenriched, cooked with water (includes boiling and microwaving), with salt",SR Legacy
"Cereals, oats, regular and quick, not fortified, dry",SR Legacy
"Cereals, oats, regular and quick, unenriched, cooked with water (includes boiling and microwaving), without salt",SR Legacy
"Cereals, QUAKER, corn grits, instant, cheddar cheese flavor, dry",SR Legacy
"Cereals, QUAKER, corn grits, instant, plain, dry",SR Legacy
"Cereals, QUAKER, corn grits, instant, plain, prepared (microwaved or boiling water added), without salt",SR Legacy
"Cereals, QUAKER, hominy grits, white, quick, dry",SR Legacy
"Cereals, QUAKER, hominy grits, white, regular, dry",SR Legacy
"Cereals, QUAKER, Instant Grits Product with American Cheese Flavor, dry",SR Legacy
"Cereals, QUAKER, Instant Grits, Butter flavor, dry",SR Legacy
"Cereals, QUAKER, Instant Grits, Country Bacon flavor, dry",SR Legacy
"Cereals, QUAKER, Instant Grits, Ham 'n' Cheese flavor, dry",SR Legacy
"Cereals, QUAKER, Instant Grits, Redeye Gravy & Country Ham flavor, dry",SR Legacy
"Cereals, QUAKER, Instant Oatmeal Organic, Regular",SR Legacy
"Cereals, QUAKER, Instant Oatmeal, Apple and Cinnamon, reduced sugar",SR Legacy
"Cereals, QUAKER, Instant Oatmeal, apples and cinnamon, dry",SR Legacy
"Cereals, QUAKER, Instant Oatmeal, Banana Bread, dry",SR Legacy
"Cereals, QUAKER, Instant Oatmeal, Cinnamon Spice, reduced sugar",SR Legacy
"Cereals, QUAKER, Instant Oatmeal, Cinnamon Swirl, high fiber",SR Legacy
"Cereals, QUAKER, Instant Oatmeal, Cinnamon-Spice, dry",SR Legacy
"Cereals, QUAKER, Instant Oatmeal, DINOSAUR EGGS, Brown Sugar, dry",SR Legacy
"Cereals, QUAKER, Instant Oatmeal, fruit and cream variety, dry",SR Legacy
"Cereals, QUAKER, Instant Oatmeal, fruit and cream, variety of flavors, reduced sugar",SR Legacy
"Cereals, QUAKER, Instant Oatmeal, maple and brown sugar, dry",SR Legacy
"Cereals, QUAKER, Instant Oatmeal, Raisin and Spice, dry",SR Legacy
"Cereals, QUAKER, Instant Oatmeal, raisins, dates and walnuts, dry",SR Legacy
"Cereals, QUAKER, Instant Oatmeal, weight control, cinnamon",SR Legacy
"Cereals, QUAKER, Oat Bran, QUAKER/MOTHER'S Oat Bran, dry",SR Legacy
"Cereals, QUAKER, Oat Bran, QUAKER/MOTHER'S Oat Bran, prepared with water, no salt",SR Legacy
"Cereals, QUAKER, oatmeal, REAL MEDLEYS, apple walnut, dry",SR Legacy
"Cereals, QUAKER, oatmeal, REAL MEDLEYS, blueberry hazelnut, dry",SR Legacy
"Cereals, QUAKER, oatmeal, REAL MEDLEYS, cherry pistachio, dry",SR Legacy
"Cereals, QUAKER, oatmeal, REAL MEDLEYS, peach almond, dry",SR Legacy
"Cereals, QUAKER, oatmeal, REAL MEDLEYS, summer berry, dry",SR Legacy
"Cereals, QUAKER, QUAKER MultiGrain Oatmeal, dry",SR Legacy
"Cereals, QUAKER, QUAKER MultiGrain Oatmeal, prepared with water, no salt",SR Legacy
"Cereals, QUAKER, QUAKER MultiGrain Oatmeal, prepared with water, salt",SR Legacy
